,priop,UDD_KODE,kvotient,kvote,land,Campus,MAT_Niveau,MATGrade,ENG_Niveau,ENGGrade,DAN_Niveau,DANGrade,gender,ADGGRU,zip,residenceBeforeEnrolment,ageAtEnrolment,enrolID,startaar,startsn,Uddannelse,startramme,Ramme_kode,startstudordna,Studieordningskode,startfak,slutramme,slutsn,slutfak,NU,Norm tid,Norm+1 aar,statussn,udmeldsn,fradatosn,slutdatosn,stype,startMonth,yearOfEnrolment,EndSemester,SPV,1_T_atnBy,1_T_atpIn,1_NT_atnBy,1_NT_atpIn,1_El_atnBy,1_El_atpIn,1_Pr_atnBy,1_Pr_atpIn,2_T_atnBy,2_T_atpIn,2_NT_atnBy,2_NT_atpIn,2_El_atnBy,2_El_atpIn,2_Pr_atnBy,2_Pr_atpIn,3_T_atnBy,3_T_atpIn,3_NT_atnBy,3_NT_atpIn,3_El_atnBy,3_El_atpIn,3_Pr_atnBy,3_Pr_atpIn,4_T_atnBy,4_T_atpIn,4_NT_atnBy,4_NT_atpIn,4_El_atnBy,4_El_atpIn,4_Pr_atnBy,4_Pr_atpIn,5_T_atnBy,5_T_atpIn,5_NT_atnBy,5_NT_atpIn,5_El_atnBy,5_El_atpIn,5_Pr_atnBy,5_Pr_atpIn,6_T_atnBy,6_T_atpIn,6_NT_atnBy,6_NT_atpIn,6_El_atnBy,6_El_atpIn,6_Pr_atnBy,6_Pr_atpIn,7_T_atnBy,7_T_atpIn,7_NT_atnBy,7_NT_atpIn,7_El_atnBy,7_El_atpIn,7_Pr_atnBy,7_Pr_atpIn,8_T_atnBy,8_T_atpIn,8_NT_atnBy,8_NT_atpIn,8_El_atnBy,8_El_atpIn,8_Pr_atnBy,8_Pr_atpIn,9_T_atnBy,9_T_atpIn,9_NT_atnBy,9_NT_atpIn,9_El_atnBy,9_El_atpIn,9_Pr_atnBy,9_Pr_atpIn,10_T_atnBy,10_T_atpIn,10_NT_atnBy,10_NT_atpIn,10_El_atnBy,10_El_atpIn,10_Pr_atnBy,10_Pr_atpIn,1_El_nom,1_NT_nom,1_Pr_nom,1_T_nom,2_El_nom,2_NT_nom,2_Pr_nom,2_T_nom,3_El_nom,3_NT_nom,3_Pr_nom,3_T_nom,4_El_nom,4_NT_nom,4_Pr_nom,4_T_nom,5_El_nom,5_NT_nom,5_Pr_nom,5_T_nom,6_El_nom,6_NT_nom,6_Pr_nom,6_T_nom,1_El_mGPA,1_NT_mGPA,1_Pr_mGPA,1_T_mGPA,2_El_mGPA,2_NT_mGPA,2_Pr_mGPA,2_T_mGPA,3_El_mGPA,3_NT_mGPA,3_Pr_mGPA,3_T_mGPA,4_El_mGPA,4_NT_mGPA,4_Pr_mGPA,4_T_mGPA,5_El_mGPA,5_NT_mGPA,5_Pr_mGPA,5_T_mGPA,6_El_mGPA,6_NT_mGPA,6_Pr_mGPA,6_T_mGPA,7_El_mGPA,7_NT_mGPA,7_Pr_mGPA,7_T_mGPA,8_El_mGPA,8_NT_mGPA,8_Pr_mGPA,8_T_mGPA,9_El_mGPA,9_NT_mGPA,9_Pr_mGPA,9_T_mGPA,10_El_mGPA,10_NT_mGPA,10_Pr_mGPA,10_T_mGPA
1,2. <af>vrige,26520,4.1,1,Danmark,Esbjerg,B,2,B,2,NA,NA,MÌ_nd,HTX,2100,Ì÷st for StorebÌ_l,35,1553,2012,Medieteknologi,Medialogi,Bacheloruddannelse - BSc Medialogi,NJM1610O,3.-6. semester Medialogi,NA,TEK-NAT,,,,1.Frafald  < 1 STÌÉ,Norm Afb.,Norm+ Afb.,afbrudt,Afbrudt af den studerende,01/09/2012,23/04/2013,bachelor,9,2012,3,BSc2010,0,5,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,5,0,15,30,15,0,25,40,25,0,30,55,35,0,40,70,40,0,45,90,45,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5
2,1.prio,26520,4.7,1,Danmark,Esbjerg,A,3.5,A,5.75,A,5.5,MÌ_nd,HTX,6710,Sydjyl.til ÌÉrhus,26,1547,2012,Medieteknologi,Medialogi,Bacheloruddannelse - BSc Medialogi,NJM1610O,1.-2. semester Medialogi,NA,TEK-NAT,DiplomingeniÌüruddannelsen Elektronik og datateknik,Elektronik og IT,TEK-NAT,"3.Frafald, nyt SN",Norm Afb (nyt SN),Norm+ Afb (nyt SN),afbrudt,Afbrudt af den studerende,01/09/2012,19/11/2012,bachelor,9,2012,2,BSc2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,5,0,15,30,15,0,25,40,25,0,30,55,35,0,40,70,40,0,45,90,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1.prio,25317,7.8,1,Danmark,Aalborg,B,2,B,2,NA,NA,MÌ_nd,STX,9000,Nordjyll.,31,517,2016,Medieteknologi,Medialogi,Kandidatuddannelse - NAT Medialogi,NJM7014O,2.-4. semester Medialogi,DMI80142,TEK-NAT,,,,5.LÌ_ser stadigt,Norm Aktiv,Norm+ Aktiv,Ì´ben,Indskrevet,01/09/2016,NA,kandidat,9,2016,NA,MSc2011,5,5,5,5,5,5,15,15,5,0,10,5,15,10,30,15,5,0,10,0,15,0,30,0,5,0,10,0,15,0,30,0,5,0,10,0,15,0,30,0,5,0,10,0,15,0,30,0,5,0,10,0,15,0,30,0,5,0,10,0,15,0,30,0,5,0,10,0,15,0,30,0,5,0,10,0,15,0,30,0,5.000000001,5,15,5,15,10,30,5,15,10,30,5,15,10,60,5,15,10,60,5,15,10,60,5,NA,12,7,2,10,12,8.5,2,10,12,8.5,2,10,12,8.5,2,10,12,8.5,2,10,12,8.5,2,10,12,8.5,2,10,12,8.5,2,10,12,8.5,2,10,12,8.5,2
4,1.prio,25317,7.8,1,Danmark,Aalborg,B,2,B,2,NA,NA,MÌ_nd,STX,9000,Nordjyll.,31,2107,2013,Medieteknologi,Medialogi,Bacheloruddannelse - BSc Medialogi,NJM1610O,3.-6. semester Medialogi,NA,TEK-NAT,,,,6. BAC.,Norm Gnf.,Norm+ Gnf.,afslutte,Afsluttet,01/09/2013,28/06/2016,bachelor,9,2013,7,BSc2010,5,5,10,10,0,0,10,10,15,10,15,5,0,0,25,15,20,5,25,10,0,0,35,10,35,15,30,5,0,0,50,15,35,0,35,5,0,0,65,15,45,10,45,10,0,0,85,20,45,0,45,0,0,0,85,0,45,0,45,0,0,0,85,0,45,0,45,0,0,0,85,0,45,0,45,0,0,0,85,0,0,10,15,5,0,15,30,15,0,25,40,25,0,30,55,35,0,40,70,40,0,45,90,45,NA,10,10,7,NA,10,10,6,NA,11,10.66666667,5,NA,11,10.5,5.666666667,NA,10.66666667,10.4,5.666666667,NA,10.66666667,10.66666667,6,NA,10.66666667,10.66666667,6,NA,10.66666667,10.66666667,6,NA,10.66666667,10.66666667,6,NA,10.66666667,10.66666667,6
5,1.prio,25317,9.4,1,Danmark,Aalborg,A,9,B,7,A,8.5,MÌ_nd,HTX,9000,Nordjyll.,24,1621,2012,Medieteknologi,Medialogi,Bacheloruddannelse - BSc Medialogi,NJM1610O,3.-6. semester Medialogi,NA,TEK-NAT,,,,2.Frafald > 1 STÌÉ,Norm Afb.,Norm+ Afb.,afbrudt,Afbrudt af den studerende,01/09/2012,03/03/2014,bachelor,9,2012,5,BSc2010,0,0,5,5,0,0,10,10,15,15,15,10,0,0,25,15,15,0,15,10,0,0,25,10,15,10,15,0,0,0,25,0,15,0,15,0,0,0,25,0,15,0,15,0,0,0,25,0,15,0,15,0,0,0,25,0,15,0,15,0,0,0,25,0,15,0,15,0,0,0,25,0,15,0,15,0,0,0,25,0,0,10,15,5,0,15,30,15,0,25,40,25,0,30,55,35,0,40,70,40,0,45,90,45,NA,NA,10,0,NA,10,11,6,NA,2.5,5.666666667,6,NA,2.5,5.666666667,3.25,NA,2.5,5.666666667,3.25,NA,2.5,5.666666667,3.25,NA,2.5,5.666666667,3.25,NA,2.5,5.666666667,3.25,NA,2.5,5.666666667,3.25,NA,2.5,5.666666667,3.25
6,1.prio,25317,3.4,1,Danmark,Aalborg,B,5,A,2,A,5.5,MÌ_nd,Matematisk student,9999,Nordjyll.,26,1965,2013,Medieteknologi,Medialogi,Bacheloruddannelse - BSc Medialogi,NJM1610O,3.-6. semester Medialogi,NA,TEK-NAT,,,,1.Frafald  < 1 STÌÉ,Norm Afb.,Norm+ Afb.,afbrudt,Afbrudt af institutionen,01/09/2013,31/08/2015,bachelor,9,2013,6,BSc2010,0,5,0,10,0,0,5,15,0,10,0,5,0,0,5,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,15,5,0,15,30,15,0,25,40,25,0,30,55,35,0,40,70,40,0,45,90,45,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5,NA,-5,-5,-5
7,1.prio,25317,4.1,1,Danmark,Aalborg,B,8.5,A,7,A,3.75,MÌ_nd,Sproglig student,9000,Nordjyll.,28,1930,2013,Medieteknologi,Medialogi,Bacheloruddannelse - BSc Medialogi,NJM1610O,3.-6. semester Medialogi,NA,TEK-NAT,,,,1.Frafald  < 1 STÌÉ,Norm Afb.,Norm+ Afb.,afbrudt,Afbrudt af den studerende,01/09/2013,25/11/2014,bachelor,9,2013,4,BSc2010,5,5,5,10,0,0,15,15,5,10,15,10,0,0,30,15,5,5,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,5,0,15,0,0,0,30,0,0,10,15,5,0,15,30,15,0,25,40,25,0,30,55,35,0,40,70,40,0,45,90,45,NA,0,4,2,NA,3.5,5.5,0.5,NA,3.5,5.5,0.4,NA,3.5,5.5,0.4,NA,3.5,5.5,0.4,NA,3.5,5.5,0.4,NA,3.5,5.5,0.4,NA,3.5,5.5,0.4,NA,3.5,5.5,0.4,NA,3.5,5.5,0.4
8,1.prio,25317,5.8,1,Danmark,Aalborg,A,2,A,8,A,7,MÌ_nd,HTX,9000,Nordjyll.,25,2108,2013,Medieteknologi,Medialogi,Bacheloruddannelse - BSc Medialogi,NJM1610O,3.-6. semester Medialogi,NA,TEK-NAT,,,,6. BAC.,Norm Gnf.,Norm+ Gnf.,afslutte,Afsluttet,01/09/2013,28/06/2016,bachelor,9,2013,7,BSc2010,5,5,0,5,0,0,15,15,15,10,10,10,0,0,30,15,15,0,15,5,0,0,40,10,30,20,15,5,0,0,55,15,30,0,20,5,0,0,70,15,45,15,35,15,0,0,90,20,45,0,35,0,0,0,90,0,45,0,35,0,0,0,90,0,45,0,35,0,0,0,90,0,45,0,35,0,0,0,90,0,0,10,15,5,0,15,30,15,0,25,40,25,0,30,55,35,0,40,70,40,0,45,90,45,NA,0,4,4,NA,3.5,7,2.666666667,NA,3.5,8.666666667,2.666666667,NA,3.5,9,1.714285714,NA,3.666666667,9.2,1.714285714,NA,3.666666667,9.333333333,1.636363636,NA,3.666666667,9.333333333,1.636363636,NA,3.666666667,9.333333333,1.636363636,NA,3.666666667,9.333333333,1.636363636,NA,3.666666667,9.333333333,1.636363636
9,2. <af>vrige,25315,4.8,1,Danmark,Kbh.,A,10,B,6,A,3,MÌ_nd,STX,9000,Nordjyll.,24,2069,2013,Medieteknologi,Medialogi,Bacheloruddannelse - BSc Medialogi,NJM1610O,3.-6. semester Medialogi,NA,TEK-NAT,,,,2.Frafald > 1 STÌÉ,Norm Aktiv,Norm+ Afb.,afbrudt,Afbrudt af institutionen,01/09/2013,28/11/2016,bachelor,9,2013,8,BSc2010,0,0,5,10,0,0,5,15,10,10,10,10,0,0,15,10,15,5,10,5,0,0,25,10,25,15,20,15,0,0,40,15,25,0,25,5,0,0,55,15,40,15,35,10,0,0,75,20,40,0,35,0,0,0,75,0,40,0,35,0,0,0,75,0,40,0,35,0,0,0,75,0,40,0,35,0,0,0,75,0,0,10,15,5,0,15,30,15,0,25,40,25,0,30,55,35,0,40,70,40,0,45,90,45,NA,-5,0,0,NA,-5,5,3.666666667,NA,-5,5.666666667,3.25,NA,-2,7.25,2.5,NA,0,7.8,2.5,NA,0,8.5,3.666666667,NA,0,8.5,3.666666667,NA,0,8.5,3.666666667,NA,0,8.5,3.666666667,NA,0,8.5,3.666666667
10,1.prio,25317,3.3,1,Danmark,Aalborg,B,2,B,2,NA,NA,MÌ_nd,STX,9000,Nordjyll.,23,1824,2012,Medieteknologi,Medialogi,Bacheloruddannelse - BSc Medialogi,NJM1610O,3.-6. semester Medialogi,NA,TEK-NAT,,,,6. BAC.,Norm Gnf.,Norm+ Gnf.,afslutte,Afsluttet,01/09/2012,11/08/2015,bachelor,9,2012,8,BSc2010,0,0,5,5,0,0,10,10,10,15,10,10,0,0,25,15,15,5,25,15,0,0,35,10,35,20,30,5,0,0,50,15,35,0,40,10,0,0,65,15,45,10,45,5,0,0,85,20,45,0,45,0,0,0,85,0,45,0,45,0,0,0,85,0,45,0,45,0,0,0,85,0,45,0,45,0,0,0,85,0,0,10,15,5,0,15,30,15,0,25,40,25,0,30,55,35,0,40,70,40,0,45,90,45,NA,NA,4,0,NA,4,5.5,4.666666667,NA,8,7,4.5,NA,8,7.75,4.125,NA,6,8.2,4.125,NA,6,8,4.2,NA,6,8,4.2,NA,6,8,4.2,NA,6,8,4.2,NA,6,8,4.2
