status2016,cprnr,optag_aar,ADGGRU,kvotient,geobag,Aldop,NAVN,postnr,geoinst,institution,campus,kon,type_optag,ramme_retning_optag,ramme_2016,studienaevn2016,orlov2016,MAT,Niveau_MAT,oprindelse_MAT,DAN,Niveau_DAN,oprindelse_DAN,ENG,NIveau_ENG,oprindelse_ENG,staa,efter_adgeksamen,ECTS,Frafalden,,,,,
Afbrudt,,2015,Ny student (påb. 2005 -),9,Øst for Storebæl,21,,2000,Øst for Storebælt,Gammel Hellerup Gymnasium,Kbh.,Kvinder,bachelor,Medialogi,,,,6,B,portal,7,A,portal,9.666666667,A,portal,0.42,2 år,25,TRUE,,MATH,Aalborg,Kbh.,Total
Indskrevet,,2015,HF,3.8,Nordjyll.,20,,9400,Midt-Vestjylland,Herning HF og VUC,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,4,B,portal,2,A,portal,8.5,B,portal,0.42,1 år,25,FALSE,,A,38,23,61
Indskrevet,,2015,Udenlandsk adg.grundlag,10.7,Øst for Storebæl,19,,1421,Ikke Danmark,Institution ikke angivet,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,12,B,indtastet,,,,,,,1,0 år,60,FALSE,,B,58,75,133
Indskrevet,,2015,Udenlandsk adg.grundlag,9.3,Ikke oplyst,20,,010326,Ikke Danmark,Institution ikke angivet,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,B,indtastet,,,,,,,1,1 år,60,FALSE,,Unknown,1,0,1
Indskrevet,,2015,Ny student (påb. 2005 -),5.8,Nordjyll.,21,,9000,Øst for Storebælt,Roskilde Katedralskole,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,4,A,portal,4.75,A,portal,6.25,B,portal,0.83,1 år,50,FALSE,,Total,97,98,195
Indskrevet,,2015,Ny student (påb. 2005 -),7.6,Øst for Storebæl,20,,3400,Øst for Storebælt,Gribskov Gymnasium,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,B,portal,8,A,portal,7,A,portal,1,1 år,60,FALSE,,,,,
Afbrudt,,2015,HF,8.4,Nordjyll.,24,,9400,Nordjylland,Nørresundby Gymnasium og HF,Aalborg,Mænd,bachelor,Medialogi,,,,5.5,B,portal,5.5,A,portal,8.5,B,portal,0.08,1 år,5,TRUE,,Dropout,Aalborg,Kbh.,Total
Indskrevet,,2015,Ny student (påb. 2005 -),9.5,Øst for Storebæl,21,,3360,Øst for Storebælt,Frederiksværk Gymnasium og HF,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,9.75,B,portal,7,A,portal,8,A,portal,0.92,1 år,55,FALSE,,A,7,4,11
Indskrevet,,2015,HHX,5.6,Øst for Storebæl,30,,2200,Øst for Storebælt,"Zealand Business College, Handelsskolen Sjælland S",Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,8.5,B,portal,7.75,A,portal,7,A,portal,1,> 4 år,60,FALSE,,B,20,16,36
Indskrevet,,2015,HF,7.7,Nordjyll.,23,,9210,Nordjylland,Fjerritslev Gymnasium,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,2,A,portal,7,A,portal,11,B,portal,1,1 år,60,FALSE,,Unknown,1,0,1
Indskrevet,,2015,Ny student (påb. 2005 -),6.3,Øst for Storebæl,23,,2400,Øst for Storebælt,Nykøbing Katedralskole,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7.75,B,portal,5.5,A,portal,6,A,portal,1,3 år,60,FALSE,,Total,28,20,48
Indskrevet,,2015,Udenlandsk adg.grundlag,,Øst for Storebæl,35,,2700,Ikke Danmark,Institution ikke angivet,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,11,B,indtastet,,,,,,,1,.,60,FALSE,,,,,
Indskrevet,,2015,Udenlandsk adg.grundlag,3.9,Sydjyl.til Århus,23,,7561,Ikke Danmark,Institution ikke oplyst,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,12,B,indtastet,,,,,,,1,> 4 år,60,FALSE,,Dropout,Aalborg,Kbh.,Total
Indskrevet,,2015,Ny student (påb. 2005 -),5.8,Nordjyll.,22,,9220,Østjylland,Risskov gymnasium,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,2,B,portal,5.5,A,portal,8,A,portal,0.92,2 år,55,FALSE,,A,18%,17%,18%
Indskrevet,,2015,Ny student (påb. 2005 -),6.7,Øst for Storebæl,21,,2000,Øst for Storebælt,Frederiksberg Gymnasium,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,6,A,portal,7,A,portal,6,A,portal,0.92,2 år,55,FALSE,,B,34%,21%,27%
Afbrudt,,2015,HHX,7.2,Midtjyll.,21,,8900,Østjylland,Tradium,Aalborg,Mænd,bachelor,Medialogi,,,,5.5,B,portal,4.333333333,A,portal,6,A,portal,0.08,1 år,5,TRUE,,Unknown,100%,,100%
Indskrevet,,2015,HF,10,Nordjyll.,23,,9220,Grøndl. Færøerne,Føroya Studentaskuli og HF-Skeid,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,8,B,indtastet,9,A,indtastet,10,B,indtastet,0.75,2 år,45,FALSE,,Total,29%,20%,25%
Indskrevet,,2015,Ny student (påb. 2005 -),5.9,Nordjyll.,21,,9320,Nordjylland,Hjørring Gymnasium og HF-Kursus,Aalborg,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,A,portal,6,A,portal,6,A,portal,1,2 år,60,FALSE,,,,,
Afbrudt,,2015,Ny student (påb. 2005 -),7.1,Øst for Storebæl,23,,2500,Øst for Storebælt,Frederiksberg Gymnasium,Kbh.,Mænd,bachelor,Medialogi,,,,7,B,portal,5,A,portal,8,A,portal,0.08,2 år,5,TRUE,,Av. mark,Aalborg,Kbh.,Total
Indskrevet,,2015,HTX,7.2,Øst for Storebæl,20,,2950,Øst for Storebælt,TEC Teknisk Erhvervsskole Center,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,A,portal,4.75,A,portal,4,A,portal,1,1 år,60,FALSE,,A,7.2,8.1,7.5
Indskrevet,,2015,Udenlandsk adg.grundlag,8.2,Øst for Storebæl,25,,1071,Ikke Danmark,Institution ikke oplyst,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,4,B,indtastet,,,,12,B,indtastet,1,> 4 år,60,FALSE,,B,7.5,7.9,7.7
Indskrevet,,2015,Udenlandsk adg.grundlag,5.4,Øst for Storebæl,25,,2200,Ikke Danmark,Institution ikke oplyst,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,8.25,B,indtastet,,,,7,B,indtastet,1,> 4 år,60,FALSE,,Total,7.4,8.0,7.7
Afbrudt(Fak skift),,2015,Ny student (påb. 2005 -),7.3,Nordjyll.,22,,9220,Øst for Storebælt,Gladsaxe Gymnasium,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse (BA) Engelsk,"Engelsk, Tysk Kulturforståelse",0,2.666666667,B,portal,7.75,A,portal,9.666666667,A,portal,0.25,2 år,15,TRUE,,,,,
Afbrudt,,2015,Ny student (påb. 2005 -),8.5,Øst for Storebæl,20,,3060,Øst for Storebælt,Espergærde Gymnasium og HF,Kbh.,Kvinder,bachelor,Medialogi,,,,7.666666667,B,portal,8,A,portal,11.33333333,A,portal,0.83,1 år,50,TRUE,,,Aalborg,Kbh.,
Indskrevet,,2015,HTX,4.2,Nordjyll.,22,,9000,Sønderjylland,EUC Syd,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,5,A,portal,3.666666667,A,portal,5.5,B,portal,1,2 år,60,FALSE,,Min. av. mark,3.8,3.9,
Afbrudt,,2015,Udenlandsk adg.grundlag,7.3,Nordjyll.,19,,9300,Ikke Danmark,Institution ikke angivet,Aalborg,Mænd,bachelor,Medialogi,,,,7,B,indtastet,,,,,,,0.08,0 år,5,TRUE,,,,,
Indskrevet,,2015,Udenlandsk adg.grundlag,8.2,Ikke oplyst,27,,1062CA,Ikke Danmark,Institution ikke oplyst,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,10,B,indtastet,,,,,,,1,> 4 år,60,FALSE,,"Av. mark, dropout",Aalborg,Kbh.,Total
Afbrudt,,2015,HF,7.2,Øst for Storebæl,26,,2800,Øst for Storebælt,VUC Lyngby,Kbh.,Mænd,bachelor,Medialogi,,,,7,B,portal,3,A,portal,4,B,portal,0.08,0 år,5,TRUE,,A,7.1,8.4,7.6
Afbrudt(Fak skift),,2015,Ny student (påb. 2005 -),7.1,Nordjyll.,19,,9000,Østjylland,Langkær Gymnasium og HF,Aalborg,Kvinder,bachelor,Medialogi,"Bacheloruddannelse (BA) Sprog og Internationale Studier, Engelsk","Sprog, Internationale studier",0,5,B,portal,7,A,portal,8,A,portal,0.42,0 år,25,TRUE,,B,7.3,8.2,7.7
Indskrevet,,2015,Udenlandsk adg.grundlag,9.3,Nordjyll.,18,,9000,Ikke Danmark,Institution ikke oplyst,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,B,indtastet,,,,,,,1,0 år,60,FALSE,,Total,7.3,8.2,7.7
Indskrevet,,2015,Udenlandsk adg.grundlag,10.7,Øst for Storebæl,23,,2014,Ikke Danmark,Institution ikke oplyst,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,12,B,indtastet,,,,12,B,indtastet,1,4 år,60,FALSE,,,,,
Indskrevet,,2015,Udenlandsk adg.grundlag,7.7,Nordjyll.,20,,9000,Ikke Danmark,Institution ikke oplyst,Aalborg,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,B,indtastet,,,,10,C,indtastet,1,1 år,60,FALSE,,,,,
Afbrudt,,2015,HF,10.8,Øst for Storebæl,34,,1432,Øst for Storebælt,Københavns VUC,Kbh.,Mænd,bachelor,Medialogi,,,,4,B,portal,8.5,A,portal,11,B,portal,0.67,0 år,40,TRUE,,,,,
Indskrevet,,2015,HF,9.2,Øst for Storebæl,22,,3460,Øst for Storebælt,Birkerød Gymnasium HF IB & Kostskole,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,9.5,B,portal,4.5,A,portal,5.5,B,portal,1,0 år,60,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),10.4,Øst for Storebæl,21,,2450,Fyn og øer,Vestfyns Gymnasium,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,8,A,portal,8,A,portal,9,B,portal,1,2 år,60,FALSE,,,,,
Indskrevet,,2015,HHX,10.5,Øst for Storebæl,22,,2450,Midt-Vestjylland,Herningsholm Erhvervsskole,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,8,A,portal,10.66666667,A,portal,9.666666667,A,portal,1,2 år,60,FALSE,,,,,
